SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1208.00,1279.00,1198.25,1258.05,1265.00,1194.55,461,5548,6940839.00,
500003,AEGIS LOGIS ,A ,Q,233.40,244.35,233.40,236.80,236.80,230.05,427,17233,4114535.00,
500008,AMAR RAJA BA,A ,Q,777.00,787.55,772.30,779.50,779.50,776.40,350,8533,6651979.00,
500009,A.SARABHAI  ,XT,Q,12.00,12.75,11.75,12.12,12.00,12.24,39,11521,136960.00,
500010,HDFC        ,A ,Q,1860.00,1872.95,1853.25,1866.80,1866.80,1854.65,1380,34847,65089932.00,
500012,ANDHRA PETRO,X ,Q,44.00,48.90,43.00,47.25,47.10,44.85,301,98956,4678666.00,
500013,ANSAL INFRAS,B ,Q,15.50,16.65,15.35,16.65,16.65,15.15,143,49880,824296.00,
500014,APPLE FINANC,XT,Q,1.80,1.96,1.80,1.80,1.80,1.87,3,610,1178.00,
500016,ARUNA HOTEL ,XT,Q,22.35,22.35,22.35,22.35,22.35,23.50,3,201,4492.00,
500020,BOM DYEING  ,A ,Q,218.00,226.10,218.00,226.10,226.10,215.35,2663,329757,73753331.00,
500024,ASSAMCO     ,B ,Q,3.72,3.90,3.61,3.68,3.68,3.66,185,226376,840920.00,
500027,ATUL LTD.   ,A ,Q,2755.00,2771.15,2720.00,2748.70,2755.00,2742.70,52,424,1164961.00,
500028,ATV PROJECTS,XT,Q,8.22,8.95,8.22,8.90,8.90,8.53,13,3595,31947.00,
500029,AUTOLITE(I) ,B ,Q,52.65,54.60,52.60,54.20,54.20,52.55,122,9720,524478.00,
500031,BAJAJ ELECT.,A ,Q,541.00,549.70,531.85,536.00,534.05,534.35,1666,70506,38186814.00,
500032,BAJAJHIND   ,A ,Q,7.15,7.29,7.06,7.19,7.19,7.14,503,675010,4847832.00,
500033,FORCE MOTR  ,B ,Q,2675.00,2746.00,2675.00,2730.85,2730.85,2667.80,2055,18035,49030994.00,
500034,BAJFINANCE  ,A ,Q,2173.00,2195.00,2164.05,2170.80,2166.00,2155.00,5168,108873,237512719.00,
500038,BALRAM.CHINI,A ,Q,67.75,68.75,66.70,68.45,68.45,67.20,3325,937880,63641769.00,
500039,BANCO PROD. ,B ,Q,219.80,223.00,219.15,221.50,222.45,218.50,73,5347,1185116.00,
500040,CENTURY TEXT,A ,Q,919.00,935.00,906.20,920.25,920.25,905.50,1541,1343320,1253420942.00,
500041,BANNARI AMAN,B ,Q,1500.00,1598.60,1499.95,1516.60,1527.00,1466.65,9,81,121765.00,
500042,BASF INDIA  ,B ,Q,1940.00,2010.00,1940.00,1999.10,1999.10,1920.40,167,522,1032855.00,
500043,BATA INDIA  ,A ,Q,758.00,770.00,755.65,764.40,763.00,750.85,790,43416,33232495.00,
500048,BEML LTD    ,A ,Q,870.00,880.90,864.40,873.50,873.50,859.75,2061,87169,76087430.00,
500049,BHARAT ELECT,A ,Q,118.40,122.00,116.30,121.55,121.55,116.15,2543,372272,44597368.00,
500052,BHANSALI ENG,B ,Q,130.85,132.45,128.00,132.45,132.45,126.15,366,48849,6418823.00,
500055,BHUSH STEEL ,B ,Q,36.50,36.50,36.50,36.50,36.50,38.40,182,30441,1111096.00,
500058,BIHAR SPONGE,XT,Q,1.22,1.22,1.12,1.18,1.13,1.17,31,14470,17091.00,
500059,BINANI IND. ,B ,Q,81.05,85.05,81.00,83.50,84.40,81.90,208,12006,1002877.00,
500060,BIRLACABLE  ,T ,Q,81.00,82.65,77.70,82.65,82.65,78.75,88,7442,605694.00,
500067,BLUE STAR   ,A ,Q,666.10,685.00,665.00,670.95,675.60,668.30,215,2914,1955954.00,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,5860.00,5860.00,5860.00,5986.20,2,4,23720.00,
500069,BNK CAPITAL ,X ,Q,90.00,90.50,88.00,88.70,88.50,87.90,16,199,17765.00,
500074,BPL LTD.    ,B ,Q,53.70,54.70,52.00,53.95,53.95,52.75,484,57483,3091059.00,
500078,OAL         ,X ,Q,788.00,788.00,735.60,747.90,747.05,749.80,51,1656,1239282.00,
500083,CENTURY EXT ,B ,Q,6.35,6.44,5.95,6.17,6.20,5.90,90,55685,348916.00,
500084,CESC LTD.   ,A ,Q,1015.50,1020.10,1005.85,1011.55,1013.90,1010.20,349,9225,9336270.00,
500085,CHAMBAL FERT,A ,Q,163.55,168.80,163.10,164.20,164.20,162.35,756,72837,12126380.00,
500086,EXIDE IND.  ,A ,Q,258.95,259.75,255.40,256.50,256.30,257.45,407,29088,7477827.00,
500087,CIPLA LTD.  ,A ,Q,540.00,542.45,537.05,540.25,538.00,537.35,808,43924,23697560.00,
500089,DIC INDIA   ,B ,Q,410.00,420.00,400.10,416.65,420.00,411.50,31,582,239233.00,
500092,CRISIL LTD  ,A ,Q,1829.60,1855.25,1810.30,1833.25,1833.25,1829.25,104,660,1213282.00,
500093,CGPOWER     ,A ,Q,58.50,59.00,57.00,57.90,57.90,57.45,2046,500424,28925539.00,
500096,DABUR (I)   ,A ,Q,380.00,385.00,378.60,384.05,385.00,378.10,1662,59745,22879581.00,
500097,DALMIASUG   ,B ,Q,61.50,62.15,60.00,60.80,61.10,61.05,129,10992,671461.00,
500101,ARVIND Ltd  ,A ,Q,397.50,406.80,391.45,404.10,404.10,394.30,2191,145426,58143306.00,
500102,BALARPUR IND,B ,Q,10.20,10.37,9.98,10.05,10.05,10.11,161,75187,763949.00,
500103,BHEL        ,A ,Q,74.50,76.60,74.50,76.35,76.35,74.45,2608,596065,45307392.00,
500104,HIND.PETRO  ,A ,Q,313.50,315.95,311.15,315.05,315.05,311.85,2768,126725,39789220.00,
500106,IFCI LTD    ,A ,Q,16.05,16.85,16.05,16.65,16.65,16.25,1338,545341,9055223.00,
500108,MAHA.TELE   ,B ,Q,17.10,18.45,17.10,17.70,17.70,16.90,2136,952098,17026009.00,
500109,MRPL        ,A ,Q,91.95,94.50,90.70,93.95,93.95,91.10,491,51833,4829351.00,
500110,CHENNAI PET.,A ,Q,299.00,299.00,292.20,294.70,294.70,295.25,373,15194,4484628.00,
500111,REL.CAP.    ,A ,Q,401.10,419.80,400.70,417.25,417.25,397.55,5120,413707,170490659.00,
500112,STATE BANK  ,A ,Q,271.40,272.70,268.40,269.25,269.25,269.90,7186,1036913,280627709.00,
500113,STEEL AUTH. ,A ,Q,78.00,83.00,77.60,82.45,82.45,77.30,5456,2251596,182200499.00,
500114,TITAN       ,A ,Q,900.00,906.65,885.20,888.70,890.00,899.00,4021,109119,97571841.00,
500116,IDBI BANK L ,A ,Q,57.75,61.65,57.10,61.15,61.15,57.35,5068,5686941,337219011.00,
500117,DCW LTD.    ,B ,Q,25.00,26.45,24.55,25.75,25.75,23.65,735,152763,3865946.00,
500119,DHAMPUR SUGA,B ,Q,96.60,97.50,94.10,95.70,95.70,96.40,740,85437,8181697.00,
500120,DIAMINES&CHM,X ,Q,89.10,93.50,89.00,90.25,90.20,90.15,32,2958,267264.00,
500123,ELANTAS     ,B ,Q,2010.00,2010.00,1966.55,2005.50,2009.00,1987.05,29,213,426202.00,
500124,DR.REDDY'S  ,A ,Q,1965.00,1977.50,1963.35,1966.20,1964.00,1961.70,1174,15247,30032769.00,
500125,E.I.D.PAR   ,A ,Q,232.20,234.00,224.45,232.40,233.00,230.40,455,11764,2722555.00,
500126,MERCK LTD   ,B ,Q,2299.80,2388.00,2289.90,2343.20,2343.20,2285.65,1190,10070,23668816.00,
500128,ELEC.CASTING,B ,Q,25.25,25.35,24.75,24.80,24.80,24.90,128,37013,922782.00,
500132,EMPEE SUGARS,XT,Q,1.72,1.72,1.64,1.64,1.64,1.72,22,17679,29546.00,
500133,ESAB INDIA  ,B ,Q,627.95,677.00,627.95,650.15,645.00,624.85,208,3113,2018892.00,
500135,ESSEL PROP  ,B ,Q,255.00,258.00,250.05,254.05,254.55,246.40,251,8243,2093129.00,
500136,ESTER INDUS.,B ,Q,52.90,56.35,52.90,56.35,56.35,51.25,158,14361,796128.00,
500139,FEDDERELEC  ,B ,Q,52.55,56.00,52.50,55.10,55.50,52.60,234,15151,828231.00,
500141,FERRO ALLOYS,X ,Q,6.30,6.79,6.18,6.73,6.76,6.18,380,214230,1434966.00,
500144,FINOL. CABLE,A ,Q,684.95,684.95,670.10,673.55,675.10,675.00,81,1143,770317.00,
500147,CMI FPE     ,X ,Q,846.00,846.00,804.00,839.25,839.25,823.10,13,111,92661.00,
500148,UFLEX LTD   ,A ,Q,293.05,304.15,293.00,301.40,301.40,289.60,523,20372,6115843.00,
500150,FOSECO INDIA,B ,Q,1377.00,1390.95,1367.05,1372.50,1371.05,1391.50,15,55,75933.00,
500151,GOLDEN TOB  ,T ,Q,51.00,51.00,48.00,51.00,51.00,48.60,7,1803,91653.00,
500153,GANESH BENZO,X ,Q,85.95,88.00,84.50,86.90,86.90,84.15,434,50054,4323651.00,
500155,GARDEN SILK ,B ,Q,27.95,29.40,27.90,29.30,29.30,28.55,38,3208,93287.00,
500159,METROGLOBL  ,X ,Q,75.00,78.40,74.95,75.10,75.00,75.00,17,3608,270881.00,
500160,GTL LTD.    ,B ,Q,8.60,8.71,8.31,8.40,8.35,8.69,44,10066,85335.00,
500163,GODFREY PH  ,A ,Q,737.00,748.60,732.00,745.80,744.45,728.40,351,6160,4574566.00,
500164,GODREJ IND  ,A ,Q,604.90,607.20,594.00,597.70,599.00,599.35,545,13600,8159679.00,
500165,KANSAI NERO ,A ,Q,469.90,479.40,467.50,471.00,471.00,465.20,389,7232,3409207.00,
500166,GOODRICKE   ,X ,Q,278.00,281.00,269.05,270.85,270.85,273.10,147,7500,2071232.00,
500168,GOODYEAR (I),B ,Q,1076.00,1129.50,1076.00,1116.45,1101.00,1083.35,714,3935,4322016.00,
500170,GTN INDUS   ,B ,Q,11.11,12.74,11.11,11.63,11.60,12.20,39,2166,25864.00,
500171,GHCL LTD    ,A ,Q,272.95,282.60,272.50,281.25,281.25,271.05,329,19498,5429940.00,
500173,GUJ.FLOURO  ,B ,Q,738.00,778.25,738.00,752.50,747.00,745.20,165,790,602463.00,
500179,HCL INFOSYS ,A ,Q,37.00,38.45,36.25,37.00,37.00,35.80,1808,494831,18253188.00,
500180,HDFC BANK   ,A ,Q,2065.00,2079.50,2053.90,2064.85,2064.85,2059.15,1965,60491,125261218.00,
500182,HEROMOTOCO  ,A ,Q,3660.00,3680.00,3629.25,3657.05,3666.10,3638.90,1338,13531,49426280.00,
500183,HIMACHAL FUT,A ,Q,27.65,30.50,27.65,30.10,30.10,27.50,5626,3934008,115375704.00,
500184,HSCL        ,B ,Q,118.35,124.10,118.35,124.10,124.10,118.20,704,64781,7964482.00,
500185,HIND.CONSTN.,A ,Q,14.50,15.02,14.41,14.92,14.92,14.22,1229,796589,11758719.00,
500186,HIND.OIL EXP,B ,Q,111.90,114.75,111.55,113.25,113.25,110.85,586,74536,8437279.00,
500187,HSIL        ,B ,Q,335.95,340.25,330.10,337.20,339.40,327.60,115,3197,1072453.00,
500188,HINDUS.ZI   ,A ,Q,296.00,300.60,294.50,297.75,297.75,297.85,1265,46547,13858714.00,
500189,HINDUJA VENT,B ,Q,669.95,690.00,667.95,680.40,689.05,651.30,34,372,252825.00,
500191,HMT LTD.    ,Z ,Q,25.40,25.85,25.40,25.85,25.85,24.65,25,8725,222841.00,
500192,PRAG BOSIMI ,XT,Q,3.46,3.63,3.33,3.56,3.50,3.46,16,877,3074.00,
500193,HOTEL LEELA.,B ,Q,16.65,17.10,16.60,16.70,16.70,16.55,119,44366,746321.00,
500199,I.G.PETRO   ,B ,Q,521.95,575.00,521.95,568.40,568.40,511.40,632,11786,6533536.00,
500201,IND.GLYCOLS ,B ,Q,425.05,441.50,425.05,441.50,441.50,420.50,647,28954,12566713.00,
500207,INDO RAMA   ,B ,Q,23.40,23.80,23.15,23.40,23.50,22.80,24,3456,81207.00,
500209,INFOSYS LTD ,A ,Q,1238.00,1257.00,1237.00,1250.80,1250.80,1235.60,5088,157001,196397471.00,
500210,INGERSOLL   ,B ,Q,539.85,570.00,526.00,562.65,562.65,530.75,1084,22091,12327004.00,
500211,INSILCO LTD.,X ,Q,24.00,25.00,23.50,24.95,24.90,23.50,27,30590,730220.00,
500212,INTEG.FIN.SE,XT,Q,33.75,33.75,33.75,33.75,33.75,32.15,1,1,33.00,
500213,INTER.TRAVEL,X ,Q,184.70,194.00,180.30,188.35,184.00,180.50,81,4349,816304.00,
500214,ION EXCHANGE,XT,Q,425.75,430.00,419.90,425.35,425.00,416.00,79,5049,2151757.00,
500215,AGRO TECH FO,B ,Q,659.90,685.00,659.90,681.10,684.75,648.80,24,268,180391.00,
500219,JAIN IRRIG  ,A ,Q,101.75,103.75,101.75,102.90,102.90,101.50,1324,473073,48697834.00,
500220,JASCH INDUST,X ,Q,60.50,69.90,60.50,69.30,69.90,61.90,184,16961,1145967.00,
500223,JCT LTD     ,X ,Q,2.20,2.29,2.17,2.21,2.25,2.21,201,145976,325954.00,
500227,JINDAL POLYF,B ,Q,222.00,236.45,222.00,226.90,226.90,223.15,700,23260,5363649.00,
500228,JSWSL       ,A ,Q,340.00,346.40,339.75,343.40,343.40,337.50,4262,217204,74748927.00,
500231,UMANG DAIR  ,B ,Q,82.00,84.00,82.00,83.85,83.90,80.65,49,2815,235193.00,
500233,KAJARIA CER.,A ,Q,525.30,537.10,525.30,528.00,528.85,525.30,602,10633,5640426.00,
500234,KAKATIYA CEM,B ,Q,245.85,260.00,244.00,257.55,256.45,237.65,157,4771,1203633.00,
500235,KALYANI STEL,B ,Q,264.00,278.00,262.50,276.30,276.30,261.75,325,10992,2996061.00,
500238,WHIRLPOOL   ,A ,Q,1562.05,1590.00,1545.10,1554.45,1549.00,1567.50,321,2833,4468316.00,
500239,KG DENIM    ,X ,Q,39.80,39.80,38.00,38.15,38.45,39.00,51,7389,286004.00,
500240,KINETIC ENG.,X ,Q,62.00,64.90,60.15,63.80,63.75,60.25,25,3229,202751.00,
500241,KIRL.BROS.  ,B ,Q,256.00,277.50,256.00,276.70,277.50,258.25,135,3326,892948.00,
500243,KIRL INDUS  ,B ,Q,1161.20,1228.90,1161.20,1185.00,1185.00,1199.50,4,27,32267.00,
500245,KIRL.FERROUS,B ,Q,89.50,91.30,89.50,90.05,90.05,90.15,252,41650,3758508.00,
500247,KOTAK MAH.BK,A ,Q,1320.00,1334.75,1305.00,1308.45,1308.45,1316.00,2290,430089,568281676.00,
500249,KSB PUMPS   ,B ,Q,804.30,824.70,802.10,806.40,804.00,802.50,60,465,375576.00,
500250,L.G.BALKRISH,B ,Q,1263.00,1295.65,1263.00,1290.05,1280.00,1230.25,174,2525,3252690.00,
500251,TRENT LTD.  ,A ,Q,328.00,328.50,320.00,322.35,322.35,328.65,330,98401,31885123.00,
500252,LAKSHMI MACH,A ,Q,7901.25,8180.00,7880.00,8058.25,8091.65,7838.05,424,1273,10272543.00,
500253,LIC HOUS.FIN,A ,Q,490.00,494.85,488.00,493.20,493.20,486.50,2916,95870,47190730.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,26,54316,10320.00,
500257,LUPIN LTD.  ,A ,Q,772.50,775.75,762.70,767.40,765.00,769.20,1996,70568,54301107.00,
500259,LYKA LABS   ,B ,Q,34.35,35.80,34.35,34.75,34.65,33.95,57,6010,209859.00,
500260,RAMCOCEM    ,A ,Q,750.45,772.55,747.15,752.55,748.00,751.30,307,5265,4003048.00,
500264,MAFATLAL IND,X ,Q,246.95,250.00,239.05,248.40,250.00,236.25,23,404,100277.00,
500265,MAH.SEAMLESS,B ,Q,431.70,440.70,431.70,439.50,439.95,433.60,63,2655,1164354.00,
500266,MAH.SCOOTER ,B ,Q,2525.00,2626.00,2525.00,2600.80,2608.00,2514.45,36,229,588501.00,
500267,MAJESTIC AUT,X ,Q,140.00,149.90,136.55,142.05,142.05,139.50,190,9158,1343468.00,
500268,MANALI PETRO,B ,Q,42.00,45.15,41.90,44.85,44.85,41.70,2426,680223,30040521.00,
500271,MFSL        ,A ,Q,471.90,491.60,464.55,483.45,480.65,463.70,1792,46187,22301268.00,
500279,MIRC ELECT  ,B ,Q,34.95,35.80,34.95,35.80,35.80,34.10,234,61557,2200121.00,
500280,CENTURY ENKA,B ,Q,300.75,303.70,294.00,296.30,296.30,295.85,117,2713,808139.00,
500284,LORDS CHLORO,XT,Q,53.55,53.55,48.60,49.10,49.10,51.00,3,55,2682.00,
500285,SPICEJET LTD,B ,Q,113.45,118.80,113.20,114.45,114.45,112.95,9809,1776054,206276823.00,
500288,MOREPEN LAB.,B ,Q,27.10,27.95,27.10,27.65,27.65,27.10,369,118057,3251137.00,
500290,MRF LTD.    ,A ,Q,74600.00,76000.00,74433.30,75459.45,75459.45,74289.10,201,332,25013761.00,
500292,HEIDEL CEM  ,A ,Q,145.15,146.65,142.40,142.75,142.75,143.00,164,19149,2772402.00,
500294,NCC         ,A ,Q,108.90,111.80,108.10,110.05,110.05,107.55,2421,539169,59491262.00,
500295,VEDL        ,A ,Q,248.10,256.40,246.10,246.95,246.95,246.30,10766,2964477,740512379.00,
500296,NAHAR SPG.  ,B ,Q,78.85,83.50,78.85,83.25,83.45,80.15,51,2681,222446.00,
500298,NAT.PEROXIDE,B ,Q,3026.00,3168.45,3026.00,3168.45,3168.45,3017.60,586,7210,22662779.00,
500300,GRASIM IND. ,A ,Q,1040.00,1055.00,1035.00,1040.55,1043.00,1035.05,617,14956,15613899.00,
500302,PEL         ,A ,Q,2360.00,2421.40,2360.00,2404.50,2404.15,2387.30,1186,9706,23270283.00,
500304,NIIT LTD.   ,A ,Q,99.60,103.65,99.00,102.80,102.80,100.40,981,111355,11354462.00,
500306,JAYKAY      ,X ,Q,6.26,6.26,6.00,6.19,6.20,6.08,24,9666,59098.00,
500307,NIRLON      ,B ,Q,185.55,189.90,185.55,186.05,186.05,182.75,28,913,170130.00,
500312,ONGC CORPN  ,A ,Q,172.65,173.40,170.90,172.70,173.00,170.35,1458,237608,40993299.00,
500313,OIL COUNTRY ,B ,Q,19.45,20.50,19.25,19.95,19.90,18.85,73,8565,170407.00,
500314,ORIENT HOTEL,B ,Q,48.50,49.85,48.20,49.00,49.40,48.15,114,24738,1214099.00,
500315,ORINTAL BANK,A ,Q,79.00,82.15,77.80,81.30,81.30,78.15,1703,342331,27474315.00,
500317,OSWAL AGRO. ,B ,Q,11.80,11.80,11.10,11.45,11.45,11.11,44,5506,62399.00,
500319,INDIAN SUCRO,XT,Q,15.30,16.85,15.25,16.85,16.85,16.05,11,1006,15736.00,
500322,PANYAM CEMEN,X ,Q,31.00,32.50,30.00,31.25,31.25,29.95,64,14775,449916.00,
500325,RELIANCE    ,A ,Q,955.00,975.60,955.00,971.40,971.40,953.40,7317,329983,320276120.00,
500327,PILITA      ,B ,Q,12.15,12.33,11.70,11.83,11.75,11.84,46,28754,343739.00,
500329,PENTAMED.G  ,X ,Q,0.55,0.55,0.50,0.54,0.54,0.53,20,31391,16562.00,
500330,RAYMOND     ,A ,Q,984.60,992.00,974.00,979.90,979.90,975.40,1070,37958,37279197.00,
500331,PIDILITE    ,A ,Q,1101.95,1114.75,1013.00,1087.60,1088.00,1089.65,1147,36876,40370688.00,
500333,PIX TRANS   ,X ,Q,146.00,146.60,140.30,145.30,145.15,139.75,246,28221,4061094.00,
500335,BIRLA CORPN.,B ,Q,686.15,695.00,682.05,691.25,695.00,673.40,151,2785,1918677.00,
500336,SURYA ROSHNI,B ,Q,344.00,355.90,343.45,348.40,347.50,342.35,393,30877,10806556.00,
500337,PRIME SECUR.,B ,Q,36.50,41.00,35.95,39.55,39.55,36.85,360,96376,3709800.00,
500338,PRSMJOHNSN  ,B ,Q,105.00,110.80,105.00,108.95,108.95,105.95,344,35904,3901296.00,
500339,RAIN        ,A ,Q,218.00,221.90,214.95,221.90,221.90,211.35,1964,228991,50501632.00,
500343,AMJLAND     ,B ,Q,25.55,25.55,24.40,24.40,24.40,25.15,5,5270,132689.00,
500346,PUN.COMMUNI.,B ,Q,29.70,30.10,29.70,30.05,30.05,29.70,9,1117,33515.00,
500350,RSWM  LTD   ,B ,Q,271.25,275.00,265.00,265.10,265.00,261.00,32,1237,329682.00,
500354,RAJSH.SUGAR ,B ,Q,27.80,27.85,27.15,27.50,27.60,27.25,9,710,19543.00,
500355,RALLIS INDIA,A ,Q,202.50,206.10,200.70,201.60,202.00,197.80,341,13133,2672455.00,
500356,RAMANEWS    ,B ,Q,22.50,23.00,22.40,22.45,22.45,22.40,32,12600,283327.00,
500357,RAMA PAPER  ,XT,Q,9.85,10.69,9.76,10.40,10.40,10.27,9,1126,11344.00,
500358,RAMA PETRO  ,X ,Q,6.18,6.18,6.18,6.18,6.18,5.89,15,7079,43748.00,
500360,RAPICUT CARB,X ,Q,61.00,63.85,61.00,63.20,63.20,61.90,75,11262,700338.00,
500365,RMGALLOY    ,XT,Q,23.05,24.85,22.80,23.00,23.40,23.95,199,159162,3720636.00,
500366,ROLTA (I)   ,B ,Q,37.30,38.95,37.30,38.40,38.40,37.25,845,149923,5761332.00,
500367,RUBFILA INT.,X ,Q,65.00,68.60,65.00,67.50,67.95,65.60,64,11354,768300.00,
500368,RUCHI SOYA  ,B ,Q,13.42,14.07,13.42,13.42,13.42,14.12,1231,1048892,14194813.00,
500372,SAMTEL COL  ,Z ,Q,0.33,0.33,0.33,0.33,0.33,0.34,1,50,16.00,
500378,JINDAL SAW  ,A ,Q,92.40,95.70,92.40,94.85,94.85,92.35,1651,227214,21429031.00,
500380,JK LAKSHMI  ,A ,Q,342.45,342.80,339.00,340.35,339.00,337.45,40,353,120230.00,
500387,SHREE CEMENT,A ,Q,16068.10,16440.05,16068.10,16306.30,16293.00,16135.95,101,213,3476201.00,
500390,REL INFRA   ,A ,Q,429.90,446.15,427.50,441.90,441.90,427.00,3362,212083,93026302.00,
500399,STEELCO GUJ.,X ,Q,7.14,7.14,6.35,6.86,6.50,6.06,20,2486,17021.00,
500400,TATA POWER  ,A ,Q,79.50,79.90,78.20,78.50,78.50,78.00,1077,624723,49120611.00,
500402,SPMLINFRA   ,B ,Q,100.50,112.65,100.05,104.85,104.25,99.15,245,26549,2788866.00,
500403,SUNDARAM FAS,A ,Q,607.50,616.00,607.25,611.10,611.10,598.55,250,4892,2993940.00,
500404,SUNFLAG IRON,B ,Q,68.75,72.15,68.60,71.35,71.35,67.70,360,44391,3131288.00,
500405,SUPREME PET ,B ,Q,293.60,297.00,290.00,290.10,290.00,290.10,87,5211,1515944.00,
500407,SWARAJ ENGIN,B ,Q,1946.85,1948.30,1911.40,1930.70,1927.00,1921.15,48,2752,5306057.00,
500408,TATA ELXSI  ,A ,Q,1192.10,1218.00,1192.10,1209.00,1209.00,1188.90,862,23221,28041321.00,
500410,ACC LTD     ,A ,Q,1327.40,1336.20,1309.05,1314.90,1314.90,1317.10,770,24014,31746415.00,
500411,THERMAX     ,A ,Q,1134.65,1166.85,1115.00,1153.85,1145.00,1129.90,348,3739,4303040.00,
500412,THIRUMALAI  ,B ,Q,1490.00,1603.50,1477.00,1567.80,1567.80,1449.55,5159,71329,110322067.00,
500413,THOMAS COOK ,B ,Q,262.00,274.95,262.00,272.95,274.45,263.50,813,507918,138728595.00,
500414,TIMEX GROUP ,X ,Q,46.90,47.00,44.00,45.60,45.60,44.25,63,19778,897097.00,
500418,TOKYO PLAST ,B ,Q,67.20,74.50,66.55,69.70,69.70,67.15,96,3211,222858.00,
500420,TORRENT PHAR,A ,Q,1391.15,1402.05,1381.60,1392.10,1393.00,1388.15,304,1727,2405055.00,
500422,TRANSCHEM   ,X ,Q,29.75,35.00,29.70,33.85,34.00,31.00,39,7241,243076.00,
500425,AMBUJA CEME ,A ,Q,206.00,207.25,204.85,205.80,205.80,204.05,625,57598,11879691.00,
500426,UTLINDS     ,XT,Q,12.20,12.35,11.80,12.35,12.35,12.25,29,5650,68524.00,
500429,UNIPHOS ENT.,B ,Q,77.05,77.50,76.05,77.50,77.50,79.95,10,750,57496.00,
500439,VARD HOLDNG ,B ,Q,3074.90,3188.00,2948.00,2951.95,2955.00,3033.75,79,347,1053018.00,
500440,HINDALCO    ,A ,Q,252.00,255.00,247.40,248.25,248.25,247.55,3580,593509,149306893.00,
500444,WEST COAS PA,B ,Q,268.00,279.95,268.00,274.60,274.40,265.85,222,4471,1230943.00,
500449,HIND.ORG.CHM,B ,Q,23.65,24.90,23.40,23.80,23.80,21.85,742,207907,5016745.00,
500456,PAS.ACRYLON ,X ,Q,23.80,23.80,22.25,22.90,23.00,22.30,131,46578,1071097.00,
500459,PROCTER &GAM,A ,Q,9223.75,9441.95,9223.75,9380.70,9439.50,9320.25,51,189,1762204.00,
500460,MUKAND LTD. ,B ,Q,62.45,71.30,62.45,68.65,68.25,61.10,720,137682,9363653.00,
500463,AGCNET      ,B ,Q,115.00,128.90,115.00,123.00,122.00,112.00,39,952,117147.00,
500464,UCAL FUEL   ,B ,Q,225.50,232.30,222.00,228.50,228.50,219.45,286,8501,1932955.00,
500467,HARR.MALAYAL,B ,Q,88.10,93.45,87.60,92.00,92.00,84.95,569,34013,3074442.00,
500469,FEDERAL BANK,A ,Q,83.40,87.15,83.40,86.05,86.05,83.20,2880,844711,72269153.00,
500470,TATA STEEL  ,A ,Q,581.40,604.80,581.40,601.35,601.35,579.70,8346,636497,379000447.00,
500472,SKF INDIA   ,A ,Q,1785.00,1795.50,1756.00,1765.65,1779.95,1773.75,54,963,1708052.00,
500477,ASHOK LEYL. ,A ,Q,148.05,150.30,147.30,147.85,147.85,148.95,3465,739049,109698900.00,
500480,CUMMINS (I) ,A ,Q,680.00,686.60,676.00,680.85,680.85,677.75,586,354439,240548926.00,
500483,TATA COMM   ,A ,Q,611.00,615.95,605.70,608.15,613.15,608.15,293,8857,5419855.00,
500488,ABBOTT (I)  ,B ,Q,6450.00,6455.30,6361.55,6409.70,6375.00,6422.60,125,375,2404744.00,
500490,BAJ HOLD INV,A ,Q,2799.45,2804.55,2758.10,2778.65,2779.60,2765.75,182,1403,3914578.00,
500493,BHARAT FORGE,A ,Q,650.70,660.10,648.80,655.40,655.40,649.30,627,23724,15585615.00,
500495,ESCORTS LTD.,A ,Q,901.00,920.45,901.00,914.85,914.85,898.80,1393,66406,60717460.00,
500500,HIND.MOTORS ,B ,Q,6.40,7.01,6.40,7.01,7.01,6.38,102,64042,445780.00,
500510,LARSEN & TOU,A ,Q,1354.00,1364.90,1349.00,1354.20,1354.20,1349.60,3238,314454,425235199.00,
500520,MAH & MAH   ,A ,Q,919.00,927.75,915.65,919.25,919.25,914.70,2378,181511,167154325.00,
500530,BOSCH LTD   ,A ,Q,18784.20,19141.90,18450.30,18597.15,18560.00,18939.70,230,463,8677152.00,XD
500540,PREMIER LTD ,B ,Q,14.70,16.85,14.70,16.80,16.45,14.85,9,419,6748.00,
500547,BHARAT PET. ,A ,Q,408.10,418.00,408.10,416.05,416.05,410.40,2559,282795,117425791.00,
500550,SIEMENS LTD.,A ,Q,992.00,1003.90,986.95,999.45,997.20,989.30,499,7825,7792142.00,
500570,TATA MOTORS ,A ,Q,297.00,306.45,295.60,305.30,305.30,295.50,12244,1363470,410739912.00,
500575,VOLTAS LTD  ,A ,Q,530.00,533.70,521.15,523.20,523.20,528.95,1972,58248,30567209.00,
500620,GREAT EASTE ,A ,Q,311.00,321.00,311.00,317.95,317.95,307.65,186,12867,4053824.00,
500645,DEEPAK FERT.,A ,Q,295.00,308.45,292.05,304.80,304.80,293.15,720,24277,7328613.00,
500650,EXCEL INDUST,B ,Q,1269.00,1302.50,1265.00,1302.50,1302.50,1240.50,143,2151,2771125.00,
